[2024-06-06T03:47:26.241Z] Attempting to play song: Hot Mulligan - *Equip Sunglasses*
[2024-06-06T03:47:27.087Z] Started playing: Hot Mulligan - *Equip Sunglasses*
[2024-06-06T03:47:27.087Z] Updated bot's status: Now Playing - Hot Mulligan - *Equip Sunglasses*
[2024-06-06T03:47:57.203Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.202Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.203Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.204Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.204Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.205Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.205Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.207Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.207Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.207Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.208Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.204Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.208Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.208Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.209Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.209Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.209Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.210Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.210Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.210Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.211Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.211Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.211Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.212Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.212Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.213Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.212Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.213Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.212Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.214Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.213Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.214Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.215Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.214Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.216Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.215Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.215Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.216Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.217Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.217Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.218Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.216Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.218Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.218Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.218Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.219Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.219Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.217Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.219Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.220Z] Error playing song - Cannot read properties of undefined (reading 'title')
